,,,,,,Daily Price Report-01-01-2026 to 03-09-2026 for Maharashtra,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Price Date
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,550.00",Rs./Quintal,29-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,700.00","8,550.00",Rs./Quintal,28-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,500.00",Rs./Quintal,28-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,650.00","8,250.00",Rs./Quintal,27-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,550.00",Rs./Quintal,27-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,650.00","8,450.00",Rs./Quintal,24-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,625.00","7,700.00","7,450.00",Rs./Quintal,24-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,700.00","8,450.00",Rs./Quintal,23-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,850.00","7,700.00","7,550.00",Rs./Quintal,23-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,600.00","8,250.00",Rs./Quintal,22-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,610.00","7,700.00","7,450.00",Rs./Quintal,22-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,450.00","8,150.00",Rs./Quintal,20-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,600.00","7,700.00","7,550.00",Rs./Quintal,20-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,450.00","8,250.00",Rs./Quintal,17-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,450.00",Rs./Quintal,17-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,400.00","8,150.00",Rs./Quintal,16-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,550.00",Rs./Quintal,16-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,350.00","8,150.00",Rs./Quintal,15-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,550.00",Rs./Quintal,15-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,400.00","8,150.00",Rs./Quintal,13-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,500.00","7,700.00","7,550.00",Rs./Quintal,13-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,400.00","8,150.00",Rs./Quintal,10-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,Non-FAQ,"6,550.00","7,700.00","7,450.00",Rs./Quintal,10-04-2026
Maharashtra,Wardha,APMC Wardha ,Fibre Crops,Cotton,Other,FAQ,"7,710.00","8,400.00","8,150.00",Rs./Quintal,09-04-2026
